student_id,age,gender,socioeconomic_status,ethnicity
1,15,Male,Low,Black
2,16,Male,Low,White
3,16,Male,Low,Black
4,16,Male,Medium,White
5,17,Female,High,Hispanic
6,14,Male,High,Hispanic
7,18,Female,Medium,White
8,16,Male,Low,Hispanic
9,16,Female,Low,Other
10,16,Male,Medium,Hispanic
11,16,Female,Low,Hispanic
12,15,Female,Medium,White
13,18,Female,Low,Black
14,18,Male,Medium,Hispanic
15,15,Male,Medium,Hispanic
16,16,Male,High,Black
17,17,Female,High,White
18,18,Female,Medium,Hispanic
19,18,Male,Medium,White
20,14,Female,Medium,Black
21,15,Male,High,Black
22,16,Male,Low,White
23,16,Female,High,Hispanic
24,18,Male,Medium,Hispanic
25,18,Male,Low,White
26,15,Female,Low,White
27,18,Female,Low,White
28,18,Female,Medium,Hispanic
29,18,Female,Low,Hispanic
30,18,Male,Medium,Hispanic
31,15,Female,High,White
32,16,Male,Low,White
33,14,Female,Low,White
34,14,Male,Low,White
35,18,Male,Low,Other
36,16,Female,Low,Other
37,16,Female,Low,Hispanic
38,16,Female,Medium,White
39,16,Male,Low,White
40,15,Male,Low,White
41,16,Female,Low,Hispanic
42,17,Male,High,Hispanic
43,18,Female,Medium,Black
44,18,Male,Low,White
45,14,Female,Medium,White
46,16,Male,Medium,White
47,15,Male,Medium,Hispanic
48,15,Male,Low,Hispanic
49,16,Male,Low,White
50,18,Male,Low,Hispanic
51,16,Male,Low,White
52,16,Female,Medium,White
53,18,Female,Low,Asian
54,17,Female,Medium,Hispanic
55,16,Male,Medium,White
56,15,Non-binary/Other,Medium,Hispanic
57,17,Male,Medium,Asian
58,15,Female,Medium,White
59,14,Female,Low,White
60,18,Female,Medium,White
61,18,Male,Low,Black
62,17,Male,High,Hispanic
63,15,Male,Medium,White
64,18,Male,Low,Asian
65,16,Female,High,White
66,15,Female,Low,Hispanic
67,18,Male,Medium,White
68,17,Male,Low,White
69,17,Male,Medium,Black
70,18,Female,Medium,Hispanic
71,17,Male,Low,White
72,18,Male,Medium,Hispanic
73,18,Female,Medium,White
74,16,Female,Medium,White
75,18,Female,Low,Black
76,16,Male,Medium,White
77,18,Male,Low,Asian
78,15,Male,High,Other
79,18,Male,Medium,White
80,16,Male,Medium,Hispanic
81,15,Male,Medium,Black
82,17,Female,High,White
83,16,Female,Low,Hispanic
84,18,Female,Medium,White
85,15,Female,Medium,White
86,17,Female,Low,White
87,18,Female,Low,White
88,15,Female,Low,White
89,17,Non-binary/Other,High,White
90,17,Female,Medium,Hispanic
91,16,Female,Low,White
92,16,Female,High,Hispanic
93,14,Female,Medium,Hispanic
94,16,Female,Low,White
95,15,Male,Low,Hispanic
96,18,Male,Low,White
97,17,Female,Medium,White
98,14,Male,Low,White
99,15,Non-binary/Other,Low,White
100,16,Male,Low,White
101,16,Female,Medium,White
102,15,Male,Low,White
103,18,Female,High,Hispanic
104,14,Male,High,Hispanic
105,17,Female,Low,White
106,17,Female,Medium,White
107,15,Male,Low,Black
108,15,Male,Medium,White
109,17,Male,High,White
110,16,Female,Low,Hispanic
111,15,Male,Medium,Other
112,16,Female,Medium,White
113,15,Male,Low,Hispanic
114,18,Male,High,White
115,17,Male,Low,Hispanic
116,16,Male,High,White
117,15,Female,Medium,White
118,14,Male,High,White
119,15,Female,Low,White
120,16,Male,Low,White
121,16,Male,Low,White
122,16,Female,High,White
123,16,Female,Medium,White
124,16,Female,Low,White
125,16,Female,Low,Black
126,18,Male,Medium,White
127,16,Female,Medium,Hispanic
128,17,Male,High,White
129,15,Male,Medium,Hispanic
130,14,Male,Low,Hispanic
131,14,Male,Low,White
132,18,Female,High,White
133,15,Female,High,White
134,16,Female,Medium,White
135,18,Female,Low,Hispanic
136,16,Male,High,Black
137,16,Male,Low,White
138,15,Male,Medium,White
139,14,Male,Low,Other
140,16,Non-binary/Other,Low,White
141,15,Male,Low,Asian
142,17,Female,Low,White
143,16,Female,High,Hispanic
144,18,Female,Medium,White
145,16,Female,High,Hispanic
146,16,Male,Medium,Black
147,18,Female,High,White
148,17,Male,Low,White
149,16,Male,Low,Black
150,17,Female,Low,Asian
151,15,Male,Medium,Asian
152,15,Non-binary/Other,Low,Hispanic
153,14,Male,Medium,White
154,16,Non-binary/Other,High,Hispanic
155,17,Female,Low,Asian
156,16,Female,Low,Black
157,16,Male,High,White
158,15,Male,Medium,White
159,16,Female,Medium,White
160,14,Female,Low,White
161,17,Male,Medium,Hispanic
162,18,Female,Low,Asian
163,16,Female,Low,Hispanic
164,16,Male,High,Other
165,16,Female,Medium,Black
166,17,Male,Low,Asian
167,18,Female,Medium,Hispanic
168,18,Male,Low,White
169,17,Female,Low,White
170,15,Female,High,Asian
171,16,Female,High,White
172,16,Female,Low,White
173,15,Non-binary/Other,High,White
174,16,Female,Medium,Asian
175,16,Female,Medium,White
176,16,Male,Low,White
177,18,Female,Low,White
178,15,Female,Medium,Black
179,18,Non-binary/Other,High,White
180,15,Male,Medium,White
181,16,Male,Medium,White
182,17,Male,Low,Hispanic
183,15,Male,High,Hispanic
184,18,Male,Low,White
185,18,Male,High,Black
186,18,Female,Low,Hispanic
187,16,Male,Low,Other
188,16,Male,Medium,White
189,15,Male,Low,White
190,15,Male,Medium,White
191,15,Female,Medium,White
192,17,Female,Medium,Hispanic
193,14,Female,Low,White
194,17,Female,Medium,Hispanic
195,14,Male,Low,White
196,14,Male,High,White
197,17,Male,High,White
198,16,Female,Low,Hispanic
199,14,Female,Low,Other
200,16,Male,Low,Black
201,16,Male,Low,White
202,16,Male,Medium,White
203,18,Male,High,White
204,17,Male,Low,Black
205,15,Male,High,Hispanic
206,15,Non-binary/Other,High,Hispanic
207,16,Female,Low,Black
208,18,Male,Medium,Hispanic
209,16,Male,High,White
210,16,Female,Medium,White
211,16,Male,Medium,Hispanic
212,17,Non-binary/Other,High,White
213,16,Male,Medium,Hispanic
214,16,Male,High,Black
215,16,Female,Medium,White
216,16,Male,Low,White
217,16,Male,Low,White
218,18,Female,Low,White
219,15,Female,High,Hispanic
220,16,Male,Medium,White
221,17,Female,Low,White
222,15,Male,Low,Black
223,15,Male,High,White
224,15,Male,High,White
225,17,Female,High,Hispanic
226,16,Female,Low,Hispanic
227,16,Female,Medium,Black
228,18,Male,Low,White
229,14,Female,Low,Hispanic
230,15,Female,Medium,Black
231,16,Male,Low,White
232,18,Male,Low,White
233,16,Female,Medium,White
234,14,Male,High,Black
235,17,Female,Low,White
236,18,Female,Medium,Hispanic
237,17,Female,Low,White
238,15,Female,High,Black
239,18,Male,Medium,White
240,15,Female,High,Hispanic
241,15,Male,Low,Other
242,17,Female,Low,Hispanic
243,14,Female,Low,White
244,16,Female,Low,Asian
245,17,Female,High,White
246,14,Female,High,White
247,16,Male,High,White
248,16,Female,Medium,Hispanic
249,18,Male,Low,Hispanic
250,16,Female,Medium,White
251,17,Male,High,White
252,18,Male,Low,White
253,14,Male,Medium,Asian
254,18,Male,Low,Asian
255,17,Female,Medium,Hispanic
256,15,Male,Low,White
257,16,Male,Medium,White
258,18,Male,Low,White
259,15,Female,Medium,White
260,18,Female,Medium,White
261,17,Female,Medium,Hispanic
262,18,Female,Low,Hispanic
263,16,Male,Medium,White
264,17,Male,Low,Black
265,18,Female,Medium,Hispanic
266,17,Female,High,Hispanic
267,16,Female,Medium,White
268,18,Female,High,White
269,16,Non-binary/Other,High,Black
270,16,Female,Low,White
271,17,Female,Medium,Black
272,15,Female,Low,White
273,17,Male,Low,Asian
274,18,Male,Medium,White
275,17,Male,Medium,White
276,14,Female,High,Black
277,18,Female,Low,Hispanic
278,14,Male,Low,White
279,18,Female,Medium,Hispanic
280,15,Female,High,Hispanic
281,17,Female,Medium,White
282,16,Female,Low,Hispanic
283,18,Male,Low,Black
284,18,Male,Medium,Hispanic
285,17,Female,Low,Hispanic
286,14,Male,High,White
287,17,Male,Medium,White
288,16,Female,Low,Hispanic
289,15,Female,Medium,Hispanic
290,16,Female,Low,White
291,15,Male,Low,White
292,15,Female,Medium,Black
293,18,Male,High,White
294,14,Male,Medium,Black
295,18,Male,Medium,Black
296,16,Female,High,White
297,16,Female,Low,White
298,15,Female,High,Hispanic
299,15,Female,Low,White
300,16,Male,Medium,White
301,15,Female,Low,Black
302,15,Female,Low,Hispanic
303,17,Male,Low,White
304,18,Female,Low,Black
305,16,Male,Low,White
306,16,Female,Low,White
307,17,Male,Medium,Hispanic
308,17,Male,Medium,Asian
309,16,Female,High,Asian
310,17,Male,Low,Hispanic
311,16,Male,High,Other
312,15,Male,Low,White
313,15,Male,Low,Hispanic
314,15,Male,Low,Hispanic
315,16,Male,Medium,White
316,16,Female,Medium,White
317,14,Male,Low,White
318,16,Female,Medium,White
319,16,Female,Medium,White
320,15,Male,High,White
321,15,Male,Low,Hispanic
322,16,Female,High,Hispanic
323,17,Female,High,Hispanic
324,18,Female,Low,Asian
325,15,Non-binary/Other,Low,Hispanic
326,17,Female,Low,Hispanic
327,17,Male,Medium,Black
328,17,Male,Medium,White
329,16,Female,High,White
330,18,Non-binary/Other,Medium,White
331,16,Female,Low,Hispanic
332,15,Female,Low,White
333,18,Female,Medium,White
334,16,Male,Low,White
335,15,Male,Medium,Black
336,18,Male,Medium,White
337,16,Male,Low,White
338,16,Non-binary/Other,Low,White
339,15,Male,Medium,White
340,17,Male,Low,White
341,16,Male,Low,Black
342,15,Male,High,Other
343,16,Male,High,White
344,15,Female,Medium,Hispanic
345,15,Female,Low,White
346,14,Female,Medium,White
347,16,Male,Medium,White
348,15,Non-binary/Other,Medium,White
349,15,Female,High,White
350,17,Male,Medium,Hispanic
351,18,Female,Medium,Hispanic
352,18,Female,High,Hispanic
353,16,Male,Medium,White
354,17,Male,Medium,White
355,15,Female,Low,White
356,18,Male,High,Black
357,16,Female,High,Hispanic
358,16,Male,Medium,Hispanic
359,15,Male,Medium,Black
360,16,Male,Medium,Hispanic
361,16,Male,High,White
362,18,Female,Medium,White
363,16,Female,Low,Asian
364,18,Female,Medium,White
365,15,Female,Low,White
366,18,Male,Medium,Hispanic
367,14,Female,Medium,Other
368,14,Female,High,Black
369,17,Female,Low,White
370,16,Female,High,White
371,15,Female,Low,White
372,17,Male,Medium,Black
373,18,Non-binary/Other,Low,Asian
374,16,Female,Medium,Hispanic
375,15,Female,Low,Black
